product_id,product_name,product_description,product_version,category_id,warranty_period
191,Regrant,Optional tertiary middleware,97,3,+02-00
208,Wrapsafe,Streamlined contextually-based local area network,14,3,+02-00
219,Transcof,Quality-focused zero administration adapter,36,3,+02-00
232,Stronghold,Front-line background hardware,42,3,+02-00
265,Trippledex,Optimized intermediate hardware,95,3,+02-00
266,Flowdesk,Profit-focused actuating local area network,57,3,+02-00
355,Span,Open-architected intermediate methodology,269,3,+02-00
373,Home Ing,Phased non-volatile service-desk,86,3,+02-00
384,Namfix,Face to face maximized instruction set,138,3,+02-00
412,Flowdesk,Advanced context-sensitive solution,77,3,+02-00
468,Namfix,Grass-roots value-added functionalities,685,3,+02-00
536,Voyatouch,Multi-tiered systematic capacity,528,3,+02-00
564,Subin,Total radical groupware,61,3,+02-00
593,Bitchip,Monitored leading edge conglomeration,883,3,+02-00
601,Latlux,Decentralized solution-oriented website,88,3,+02-00
636,Tres-Zap,Switchable 4th generation capacity,58,3,+02-00
668,Biodex,Profit-focused multi-state knowledge user,545,3,+02-00
680,Tempsoft,Operative contextually-based encoding,970,3,+02-00
686,Stringtough,Multi-channelled transitional definition,346,3,+02-00
696,Stim,Networked disintermediate ability,20,3,+02-00
725,Y-find,Grass-roots well-modulated success,992,3,+02-00
727,Cardify,Optional demand-driven Graphical User Interface,17,3,+02-00
743,Daltfresh,Focused dynamic circuit,18,3,+02-00
772,Voyatouch,Realigned executive workforce,821,3,+02-00
786,Zamit,Front-line bottom-line challenge,17,3,+02-00
789,Hatity,Cross-platform mobile throughput,464,3,+02-00
792,Matsoft,Multi-layered intermediate groupware,60,3,+02-00
798,Redhold,Pre-emptive scalable system engine,988,3,+02-00
819,Biodex,Phased regional product,63,3,+02-00
840,Matsoft,Advanced zero defect time-frame,55,3,+02-00
856,Veribet,Multi-tiered mobile policy,80,3,+02-00
861,Treeflex,De-engineered logistical extranet,72,3,+02-00
869,Overhold,User-centric national functionalities,51,3,+02-00
902,Daltfresh,Right-sized transitional challenge,485,3,+02-00
923,Bitchip,Programmable 24 hour neural-net,769,3,+02-00
924,Biodex,Persistent grid-enabled Graphical User Interface,683,3,+02-00
941,Andalax,Organized analyzing collaboration,57,3,+02-00
945,Job,Persevering disintermediate internet solution,61,3,+02-00
1000,Latlux,Distributed foreground functionalities,38,3,+02-00
20,Greenlam,Advanced well-modulated firmware,54,4,+00-01
39,Konklab,Multi-layered fault-tolerant project,34,4,+00-01
116,Voyatouch,Exclusive motivating paradigm,38,4,+00-01
145,Aerified,Centralized high-level support,64,4,+00-01
200,Greenlam,Front-line system-worthy moderator,205,4,+00-01
233,Regrant,Synergistic actuating circuit,243,4,+00-01
255,Sonsing,Stand-alone systematic superstructure,57,4,+00-01
256,Prodder,Managed mobile attitude,28,4,+00-01
278,Tres-Zap,Function-based tangible productivity,68,4,+00-01
315,Mat Lam Tam,Team-oriented eco-centric array,912,4,+00-01
318,Fintone,Visionary value-added throughput,88,4,+00-01
330,Bigtax,Multi-layered dynamic frame,735,4,+00-01
341,Sonsing,Front-line static internet solution,50,4,+00-01
379,Biodex,Fully-configurable foreground core,94,4,+00-01
421,Regrant,De-engineered analyzing methodology,630,4,+00-01
453,Fixflex,Innovative demand-driven interface,34,4,+00-01
464,Tempsoft,User-centric motivating methodology,87,4,+00-01
516,Otcom,Right-sized intermediate archive,69,4,+00-01
527,Vagram,Implemented radical throughput,39,4,+00-01
555,Domainer,Reactive directional interface,776,4,+00-01
572,Redhold,User-centric homogeneous collaboration,33,4,+00-01
580,Viva,Optimized optimizing internet solution,100,4,+00-01
592,Bamity,Versatile static workforce,556,4,+00-01
599,Latlux,Enterprise-wide holistic frame,67,4,+00-01
612,Greenlam,Front-line multi-tasking analyzer,946,4,+00-01
669,Tempsoft,Automated coherent conglomeration,37,4,+00-01
682,Stronghold,Profound uniform budgetary management,38,4,+00-01
688,Bitwolf,De-engineered next generation throughput,948,4,+00-01
707,Voltsillam,Programmable non-volatile capability,245,4,+00-01
738,Zaam-Dox,Intuitive needs-based circuit,30,4,+00-01
762,Zamit,Optional bi-directional matrix,82,4,+00-01
769,Prodder,Inverse mobile success,87,4,+00-01
783,Ronstring,Optimized 24/7 software,901,4,+00-01
804,Zathin,Decentralized stable application,76,4,+00-01
811,Voltsillam,User-centric leading edge access,42,4,+00-01
835,Zaam-Dox,Persevering exuding budgetary management,40,4,+00-01
845,Zontrax,Down-sized zero defect installation,895,4,+00-01
901,Regrant,Grass-roots empowering intranet,43,4,+00-01
907,Sonsing,Object-based object-oriented complexity,84,4,+00-01
934,Daltfresh,Multi-layered 24 hour Graphic Interface,19,4,+00-01
950,Rank,Triple-buffered hybrid Graphic Interface,913,4,+00-01
956,Asoka,Persistent mobile archive,183,4,+00-01
975,Temp,Exclusive logistical local area network,349,4,+00-01
977,Treeflex,Future-proofed local firmware,96,4,+00-01
979,Stim,Intuitive dedicated application,884,4,+00-00
4,Gembucket,Future-proofed next generation policy,702,5,+00-00
28,Solarbreeze,De-engineered tertiary database,69,5,+00-00
30,Subin,Polarised context-sensitive conglomeration,96,5,+00-00
58,Domainer,Persistent heuristic solution,84,5,+00-00
74,Hatity,Versatile multi-tasking synergy,43,5,+00-00
90,Alphazap,Exclusive incremental intranet,50,5,+00-00
109,Bamity,Persistent static array,41,5,+00-00
111,Asoka,Adaptive mission-critical neural-net,655,5,+00-00
143,Overhold,Enterprise-wide next generation attitude,82,5,+00-00
204,Bigtax,Public-key foreground help-desk,915,5,+00-00
224,Keylex,Distributed well-modulated software,54,5,+00-00
241,Quo Lux,Innovative empowering portal,404,5,+00-00
334,Asoka,Fully-configurable optimal website,31,5,+00-00
337,Span,Secured transitional capability,43,5,+00-00
354,Transcof,Exclusive dedicated ability,18,5,+00-00
382,Solarbreeze,De-engineered modular attitude,886,5,+00-00
398,Overhold,Intuitive discrete info-mediaries,33,5,+00-00
417,Zamit,Team-oriented multi-state conglomeration,12,5,+00-00
430,Asoka,Team-oriented content-based paradigm,53,5,+00-00
432,Kanlam,Enterprise-wide non-volatile info-mediaries,86,5,+00-00
443,Fix San,Ameliorated solution-oriented infrastructure,259,5,+00-00
466,Wrapsafe,Adaptive mobile task-force,29,5,+00-00
473,Redhold,Organic analyzing utilisation,30,5,+00-00
475,Duobam,Quality-focused bifurcated artificial intelligence,78,5,+00-00
479,Job,Proactive multi-tasking data-warehouse,459,5,+00-00
539,Zoolab,Re-contextualized 4th generation parallelism,578,5,+00-00
544,Konklab,Business-focused secondary alliance,49,5,+00-00
562,Lotstring,Cross-platform multimedia hardware,34,5,+00-00
578,Subin,Open-source full-range intranet,25,5,+00-00
587,Subin,Diverse zero tolerance Graphical User Interface,17,5,+00-00
681,Namfix,Monitored secondary success,73,5,+00-00
689,Flexidy,Sharable context-sensitive benchmark,768,5,+00-00
694,Holdlamis,Right-sized next generation moratorium,306,5,+00-00
697,Tresom,Right-sized tangible initiative,391,5,+00-00
745,Wrapsafe,Multi-channelled modular time-frame,34,5,+00-00
767,Subin,Multi-tiered high-level migration,305,5,+00-00
796,Subin,Focused content-based conglomeration,10,5,+00-00
812,Greenlam,Horizontal multi-tasking frame,89,5,+00-00
815,Y-Solowarm,Integrated asynchronous ability,84,5,+00-00
816,Bigtax,Universal non-volatile initiative,46,5,+00-00
829,Lotstring,Pre-emptive global capability,20,5,+00-00
893,Otcom,Future-proofed fresh-thinking system engine,59,5,+00-00
905,Domainer,Reactive system-worthy array,21,5,+00-00
915,Duobam,Inverse well-modulated migration,89,5,+00-00
918,Tresom,Enterprise-wide scalable application,65,5,+00-00
928,Tresom,Synergistic contextually-based internet solution,292,5,+00-00
951,Vagram,Innovative zero tolerance data-warehouse,618,5,+00-00
958,Matsoft,Reverse-engineered secondary implementation,53,5,+00-00
986,Latlux,Virtual demand-driven customer loyalty,70,5,+00-00
992,Span,Public-key zero tolerance interface,36,5,+00-00
48,Vagram,Public-key composite Graphical User Interface,782,6,+01-00
129,Stronghold,Polarised fault-tolerant product,75,6,+01-00
133,Wrapsafe,Ameliorated coherent support,634,6,+01-00
151,Solarbreeze,Decentralized cohesive internet solution,23,6,+01-00
152,Latlux,Grass-roots mobile product,815,6,+01-00
173,Konklux,Devolved real-time function,694,6,+01-00
178,Duobam,Fundamental empowering success,11,6,+01-00
192,Stringtough,Total 3rd generation functionalities,81,6,+01-00
194,Fixflex,Progressive tertiary data-warehouse,95,6,+01-00
212,Stronghold,Future-proofed logistical initiative,43,6,+01-00
245,Alpha,Reverse-engineered disintermediate installation,64,6,+01-00
276,Hatity,Intuitive modular initiative,37,6,+01-00
280,Toughjoyfax,Networked context-sensitive knowledge base,54,6,+01-00
333,Fix San,Multi-layered empowering database,696,6,+01-00
347,Sonair,Customizable 4th generation projection,13,6,+01-00
349,Domainer,Realigned bifurcated monitoring,524,6,+01-00
375,Alphazap,Reactive coherent Graphical User Interface,304,6,+01-00
416,Tempsoft,Intuitive attitude-oriented functionalities,84,6,+01-00
419,Fix San,Reduced optimizing database,46,6,+01-00
427,Holdlamis,Reverse-engineered clear-thinking collaboration,649,6,+01-00
436,Hatity,Face to face homogeneous knowledge user,30,6,+01-00
469,Wrapsafe,Ergonomic motivating support,540,6,+01-00
477,Duobam,Mandatory didactic solution,291,6,+01-00
480,Stronghold,Open-architected multimedia internet solution,87,6,+01-00
484,Tampflex,Automated multimedia strategy,784,6,+01-00
486,Opela,Upgradable foreground internet solution,70,6,+01-00
491,Subin,Implemented secondary toolset,37,6,+01-00
552,Tampflex,Assimilated homogeneous firmware,73,6,+01-00
561,Sonair,Up-sized uniform knowledge base,236,6,+01-00
565,Konklab,Optional demand-driven moratorium,252,6,+01-00
567,Zathin,Assimilated leading edge function,28,6,+01-00
581,Solarbreeze,Versatile optimal benchmark,31,6,+01-00
584,Zoolab,Organic coherent leverage,386,6,+01-00
589,Fix San,Assimilated maximized info-mediaries,840,6,+01-00
590,Tresom,Digitized regional definition,152,6,+01-00
604,Duobam,Exclusive object-oriented definition,76,6,+01-00
622,Transcof,Upgradable national workforce,959,6,+01-00
701,Voyatouch,Enhanced content-based task-force,615,6,+01-00
714,Sonair,Streamlined mission-critical ability,92,6,+01-00
720,Zontrax,Expanded homogeneous encoding,353,6,+01-00
728,Rank,Centralized executive frame,72,6,+01-00
750,Treeflex,Configurable asynchronous groupware,36,6,+01-00
760,Home Ing,Multi-layered contextually-based help-desk,303,6,+01-00
764,Flowdesk,Total user-facing time-frame,25,6,+01-00
776,Hatity,Organized bi-directional analyzer,73,6,+01-00
797,Bytecard,Multi-channelled explicit encoding,909,6,+01-00
824,Lotlux,De-engineered eco-centric hierarchy,54,6,+01-00
849,Opela,Automated zero defect task-force,479,6,+01-00
863,Toughjoyfax,Object-based secondary service-desk,883,6,+01-00
868,Lotstring,Synergized static policy,425,6,+01-00
871,Regrant,Reactive contextually-based focus group,91,6,+01-00
872,Overhold,Team-oriented cohesive knowledge user,447,6,+01-00
874,Quo Lux,Sharable radical database,22,6,+01-00
888,Prodder,Universal foreground instruction set,542,6,+01-00
896,Zamit,Upgradable logistical process improvement,71,6,+01-00
898,Mat Lam Tam,Automated zero tolerance capacity,377,6,+01-00
922,Voyatouch,User-centric object-oriented service-desk,78,6,+01-00
959,Temp,Cross-platform bi-directional local area network,88,6,+01-00
969,Viva,Diverse analyzing protocol,849,6,+01-00
974,Latlux,Up-sized real-time open architecture,169,6,+01-00
52,Domainer,Object-based heuristic instruction set,50,7,+01-00
54,Domainer,Monitored exuding standardization,374,7,+01-00
81,Tresom,De-engineered holistic open architecture,341,7,+01-00
104,Zoolab,Assimilated optimal encoding,61,7,+01-00
175,Lotstring,Cross-group foreground structure,58,7,+01-00
193,Cardguard,Digitized zero administration data-warehouse,47,7,+01-00
257,Matsoft,Customer-focused composite groupware,206,7,+01-00
259,Tampflex,Operative 24/7 contingency,75,7,+01-00
272,Veribet,Multi-channelled solution-oriented knowledge base,754,7,+01-00
286,Keylex,Triple-buffered background hierarchy,864,7,+01-00
311,Opela,Adaptive responsive info-mediaries,40,7,+01-00
369,Job,Ameliorated neutral intranet,53,7,+01-00
393,Voyatouch,Optional secondary database,968,7,+01-00
397,Mat Lam Tam,Persistent tangible time-frame,83,7,+01-00
438,Fixflex,Enterprise-wide hybrid customer loyalty,342,7,+01-00
450,Biodex,Quality-focused national access,68,7,+01-00
474,Bytecard,Proactive eco-centric Graphical User Interface,42,7,+01-00
511,Y-find,Team-oriented encompassing functionalities,59,7,+01-00
513,Sonsing,Expanded grid-enabled array,771,7,+01-00
524,Bigtax,Exclusive human-resource local area network,39,7,+01-00
588,It,Object-based scalable moderator,528,7,+01-00
600,Domainer,Programmable systematic frame,38,7,+01-00
608,Bigtax,Adaptive multi-state archive,42,7,+01-00
627,Wrapsafe,Inverse discrete local area network,70,7,+01-00
634,Job,Robust impactful middleware,937,7,+01-00
659,Job,Phased empowering encryption,59,7,+01-00
731,Stim,Horizontal motivating instruction set,705,7,+01-00
751,Treeflex,Face to face methodical customer loyalty,45,7,+01-00
771,Zathin,Optional national policy,19,7,+01-00
778,Y-Solowarm,User-friendly background adapter,14,7,+01-00
779,Zathin,Assimilated demand-driven neural-net,986,7,+01-00
791,Sub-Ex,Total 24 hour standardization,652,7,+01-00
799,Duobam,Future-proofed high-level model,209,7,+01-00
801,Latlux,Integrated coherent interface,10,7,+01-00
817,Pannier,Open-source even-keeled support,96,7,+01-00
826,Tres-Zap,Inverse actuating challenge,30,7,+01-00
834,Namfix,Enterprise-wide intangible database,41,7,+01-00
841,Tresom,Synergistic background intranet,28,7,+01-00
859,Kanlam,Synergized contextually-based internet solution,95,7,+01-00
862,Andalax,Customer-focused methodical policy,467,7,+01-00
897,Voltsillam,Synchronised executive implementation,25,7,+01-00
911,Rank,Upgradable tertiary ability,88,7,+01-00
983,Cookley,Proactive web-enabled service-desk,53,7,+01-00
2,Gembucket,Advanced eco-centric approach,923,8,+01-06
23,Latlux,Front-line optimal complexity,89,8,+01-06
29,Bytecard,Cross-platform multimedia policy,20,8,+01-06
94,Tampflex,Fully-configurable disintermediate circuit,51,8,+01-06
131,Overhold,Realigned reciprocal groupware,762,8,+01-06
150,Daltfresh,Synergistic executive project,83,8,+01-06
181,Trippledex,Re-engineered zero tolerance success,563,8,+01-06
228,Bamity,Virtual demand-driven superstructure,789,8,+01-06
242,Greenlam,Progressive foreground access,775,8,+01-06
302,Sonsing,Public-key mobile emulation,33,8,+01-06
321,Konklux,Digitized responsive focus group,51,8,+01-06
404,Bigtax,Vision-oriented encompassing concept,371,8,+01-06
408,Tresom,Progressive context-sensitive initiative,472,8,+01-06
414,Trippledex,Intuitive full-range customer loyalty,28,8,+01-06
415,Holdlamis,Down-sized well-modulated synergy,784,8,+01-06
422,Gembucket,Cross-group impactful open system,45,8,+01-06
447,Zathin,Devolved client-server hierarchy,91,8,+01-06
449,Tresom,Function-based uniform Graphical User Interface,545,8,+01-06
460,Sonsing,Open-architected multi-state initiative,616,8,+01-06
520,Zoolab,Centralized fresh-thinking adapter,15,8,+01-06
523,Tampflex,User-centric dedicated website,86,8,+01-06
534,Stim,Ameliorated 24/7 website,39,8,+01-06
548,Bamity,Optimized uniform process improvement,27,8,+01-06
559,Quo Lux,Grass-roots tangible forecast,370,8,+01-06
573,Zathin,Synchronised bandwidth-monitored protocol,64,8,+01-06
582,Otcom,Ergonomic uniform core,442,8,+01-06
602,Gembucket,Digitized systematic software,94,8,+01-06
638,Biodex,Triple-buffered mission-critical support,870,8,+01-06
650,Quo Lux,Managed secondary middleware,98,8,+01-06
693,Tampflex,Multi-channelled composite success,18,8,+01-06
705,Tin,Proactive systematic superstructure,542,8,+01-06
706,Tresom,Operative radical hierarchy,131,8,+01-06
718,Fix San,Intuitive uniform attitude,96,8,+01-06
729,Voltsillam,Optional upward-trending workforce,504,8,+01-06
732,Zathin,Focused contextually-based focus group,87,8,+01-06
737,Vagram,Profound dedicated model,44,8,+01-06
864,Vagram,Enhanced empowering infrastructure,455,8,+01-06
930,Vagram,Intuitive secondary project,68,8,+01-06
971,Voyatouch,Exclusive mission-critical emulation,751,8,+01-06
997,Stim,Managed tangible frame,204,8,+01-06
7,Kanlam,Multi-lateral mission-critical capability,841,9,+15-00
31,Tresom,Up-sized object-oriented hierarchy,39,9,+15-00
33,Cookley,Innovative 24 hour firmware,36,9,+15-00
35,Cardguard,Multi-layered exuding software,24,9,+15-00
125,Trippledex,Open-source hybrid interface,168,9,+15-00
160,Lotlux,Networked clear-thinking flexibility,20,9,+15-00
205,Trippledex,Configurable demand-driven analyzer,50,9,+15-00
218,Tresom,Configurable upward-trending synergy,528,9,+15-00
237,Sub-Ex,Optional leading edge benchmark,46,9,+15-00
254,Stringtough,Programmable multimedia service-desk,453,9,+15-00
264,Y-Solowarm,Distributed systematic support,907,9,+15-00
273,Cardguard,Intuitive secondary circuit,36,9,+15-00
294,Biodex,De-engineered multi-state task-force,936,9,+15-00
313,Solarbreeze,Synchronised secondary open architecture,909,9,+15-00
328,Tresom,Multi-lateral value-added access,41,9,+15-00
383,It,Persistent systemic matrix,138,9,+15-00
399,Sonair,Optional eco-centric conglomeration,453,9,+15-00
428,Span,Enhanced tertiary projection,88,9,+15-00
442,Prodder,Fully-configurable regional ability,20,9,+15-00
452,Flexidy,Upgradable systematic time-frame,45,9,+15-00
456,Greenlam,Polarised value-added matrices,90,9,+15-00
518,Voltsillam,Assimilated modular adapter,99,9,+15-00
519,Voyatouch,Horizontal reciprocal parallelism,233,9,+15-00
537,Quo Lux,Realigned foreground access,85,9,+15-00
560,Lotstring,Open-architected global pricing structure,443,9,+15-00
611,Stim,Open-source tertiary pricing structure,82,9,+15-00
631,Temp,Triple-buffered intermediate groupware,56,9,+15-00
640,Sonair,Operative bandwidth-monitored paradigm,43,9,+15-00
665,Gembucket,Open-source heuristic website,374,9,+15-00
683,Toughjoyfax,Customer-focused didactic solution,82,9,+15-00
690,Prodder,Visionary client-server database,73,9,+15-00
708,Aerified,Right-sized mission-critical parallelism,82,9,+15-00
715,Treeflex,Exclusive static utilisation,75,9,+15-00
741,Konklab,Progressive zero administration structure,924,9,+15-00
773,Vagram,Up-sized well-modulated customer loyalty,47,9,+15-00
781,Mat Lam Tam,Sharable national matrices,40,9,+15-00
784,Trippledex,Up-sized contextually-based workforce,315,9,+15-00
787,Job,Persevering zero tolerance process improvement,870,9,+15-00
802,Treeflex,Vision-oriented background product,44,9,+15-00
814,Tempsoft,Optimized mission-critical algorithm,90,9,+15-00
833,Bytecard,Pre-emptive didactic project,10,9,+15-00
839,Ronstring,Expanded demand-driven migration,476,9,+15-00
857,Konklux,Virtual eco-centric array,213,9,+15-00
860,Bitchip,Balanced executive adapter,848,9,+15-00
906,Biodex,Switchable 6th generation parallelism,535,9,+15-00
931,Bitwolf,Monitored national matrix,191,9,+15-00
949,Daltfresh,Enterprise-wide uniform task-force,143,9,+15-00
966,Treeflex,Fundamental background methodology,42,9,+15-00
10,Cardguard,Optional coherent initiative,808,10,+00-03
40,Duobam,Advanced value-added knowledge base,957,10,+00-03
47,It,Up-sized optimal framework,655,10,+00-03
53,Daltfresh,Re-contextualized maximized core,456,10,+00-03
66,Alphazap,Expanded radical strategy,33,10,+00-03
70,Domainer,Business-focused static process improvement,673,10,+00-03
76,Regrant,Managed bifurcated function,229,10,+00-03
93,Keylex,Intuitive multimedia structure,96,10,+00-03
113,Zaam-Dox,Right-sized multimedia functionalities,80,10,+00-03
146,Zoolab,Horizontal systemic definition,28,10,+00-03
209,Domainer,Sharable maximized Graphical User Interface,85,10,+00-03
225,Bigtax,Down-sized coherent focus group,58,10,+00-03
249,Matsoft,Future-proofed interactive knowledge user,53,10,+00-03
282,Zamit,Monitored static customer loyalty,34,10,+00-03
300,Fixflex,Virtual multi-state application,92,10,+00-03
338,Rank,Sharable 4th generation data-warehouse,78,10,+00-03
351,Andalax,Customer-focused impactful ability,65,10,+00-03
360,Sonair,Down-sized discrete approach,77,10,+00-03
388,Solarbreeze,Triple-buffered dedicated help-desk,66,10,+00-03
402,Mat Lam Tam,Phased optimizing knowledge user,37,10,+00-03
461,Sonsing,Reverse-engineered methodical middleware,920,10,+00-03
467,Tresom,Self-enabling systemic emulation,42,10,+00-03
506,Biodex,Virtual high-level knowledge base,888,10,+00-03
508,Transcof,Optional fresh-thinking synergy,61,10,+00-03
515,Konklab,Synchronised radical matrices,90,10,+00-03
525,Quo Lux,Enhanced encompassing product,451,10,+00-03
658,Overhold,Advanced static firmware,833,10,+00-03
667,Tres-Zap,Grass-roots hybrid product,71,10,+00-03
